,Survied,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S
0,0,3,34.5,0,0,7.8292,1,1,0
1,0,3,47.0,1,0,7.0,0,0,1
2,0,2,62.0,0,0,9.6875,1,1,0
3,0,3,27.0,0,0,8.6625,1,0,1
4,0,3,22.0,1,1,12.2875,0,0,1
5,0,3,14.0,0,0,9.225,1,0,1
6,0,3,30.0,0,0,7.6292,0,1,0
7,0,2,26.0,1,1,29.0,1,0,1
8,0,3,18.0,0,0,7.2292,0,0,0
9,0,3,21.0,2,0,24.15,1,0,1
10,0,3,27.0,0,0,7.8958,1,0,1
11,0,1,46.0,0,0,26.0,1,0,1
12,0,1,23.0,1,0,82.2667,0,0,1
13,0,2,63.0,1,0,26.0,1,0,1
14,0,1,47.0,1,0,61.175,0,0,1
15,0,2,24.0,1,0,27.7208,0,0,0
16,0,2,35.0,0,0,12.35,1,1,0
17,0,3,21.0,0,0,7.225,1,0,0
18,0,3,27.0,1,0,7.925,0,0,1
19,0,3,45.0,0,0,7.225,0,0,0
20,0,1,55.0,1,0,59.4,1,0,0
21,0,3,9.0,0,1,3.1708,1,0,1
22,0,1,27.0,0,0,31.6833,0,0,1
23,0,1,21.0,0,1,61.3792,1,0,0
24,1,1,48.0,1,3,262.375,0,0,0
25,0,3,50.0,1,0,14.5,1,0,1
26,0,1,22.0,0,1,61.9792,0,0,0
27,0,3,22.5,0,0,7.225,1,0,0
28,0,1,41.0,0,0,30.5,1,0,1
29,0,3,27.0,2,0,21.6792,1,0,0
30,0,2,50.0,1,0,26.0,1,0,1
31,0,2,24.0,2,0,31.5,1,0,1
32,0,3,33.0,1,2,20.575,0,0,1
33,0,3,27.0,1,2,23.45,0,0,1
34,0,1,30.0,1,0,57.75,1,0,0
35,0,3,18.5,0,0,7.2292,1,0,0
36,0,3,27.0,0,0,8.05,0,0,1
37,0,3,21.0,0,0,8.6625,0,0,1
38,0,3,25.0,0,0,9.5,1,0,1
39,0,3,27.0,0,0,56.4958,1,0,1
40,0,3,39.0,0,1,13.4167,1,0,0
41,0,1,27.0,0,0,26.55,1,0,1
42,0,3,41.0,0,0,7.85,1,0,1
43,0,2,30.0,0,0,13.0,0,0,1
44,0,1,45.0,1,0,52.5542,0,0,1
45,0,3,25.0,0,0,7.925,1,0,1
46,0,1,45.0,0,0,29.7,1,0,0
47,0,3,27.0,0,0,7.75,1,1,0
48,0,1,60.0,0,0,76.2917,0,0,0
49,0,3,36.0,0,2,15.9,0,0,1
50,0,1,24.0,1,0,60.0,1,0,1
51,0,2,27.0,0,0,15.0333,1,0,0
52,0,2,20.0,2,1,23.0,0,0,1
53,1,1,28.0,3,2,263.0,0,0,1
54,0,2,27.0,0,0,15.5792,1,0,0
55,0,3,10.0,4,1,29.125,1,1,0
56,0,3,35.0,0,0,7.8958,1,0,1
57,0,3,25.0,0,0,7.65,1,0,1
58,0,3,27.0,1,0,16.1,1,0,1
59,1,1,36.0,0,0,262.375,0,0,0
60,0,3,17.0,0,0,7.8958,1,0,1
61,0,2,32.0,0,0,13.5,1,0,1
62,0,3,18.0,0,0,7.75,1,0,1
63,0,3,22.0,0,0,7.725,0,1,0
64,1,1,13.0,2,2,262.375,1,0,0
65,0,2,27.0,0,0,21.0,0,0,1
66,0,3,18.0,0,0,7.8792,0,1,0
67,0,1,47.0,0,0,42.4,1,0,1
68,0,1,31.0,0,0,28.5375,1,0,0
69,0,1,60.0,1,4,263.0,0,0,1
